PLC点位,PLC点位名称,应用类型,IO类型,状态说明,状态映射
CH00000,系统工作/停止,C,I,1系统工作;0系统停止,
CH00001,手动/自动,C,I,1系统自动;0系统手动/调试模式,
CH00002,沉沙缸进样阀开关,C,I,1打开;0关闭,
CH00003,电极桶进样阀开关,C,I,1打开;0关闭,
CH00004,制样泵(隔膜泵)开关,C,I,1打开;0关闭,
CH00005,清洗总阀开关,C,I,1打开;0关闭,
CH00006,仪表启动开关,C,I,1打开;0关闭,
CH00007,1#采样泵开关,C,I,1打开;0关闭,
CH00008,2#采样泵开关,C,I,1打开;0关闭,
CH00009,沉沙缸排水阀开关,C,I,1打开;0关闭,
CH00010,电极桶排水阀开关,C,I,1打开;0关闭,
CH00011,空压机总阀开关,C,I,1打开;0关闭,
CH00100,加药泵开关,C,I,1打开;0关闭,
CH00102,1#采样阀开关,C,I,1打开;0关闭,
CH00103,2#采样阀开关,C,I,1打开;0关闭,
CH00104,样水杯排水阀开关,C,I,1打开;0关闭,
CH00105,沉砂缸清洗阀开关,C,I,1打开;0关闭,
CH00106,过滤器清洗阀开关,C,I,1打开;0关闭,
CH00107,样水杯清洗阀开关,C,I,1打开;0关闭,
CH00109,沉沙池液位低信号(开关量),S,I,沉沙池处于低液位,
CH00110,沉沙池液位高信号(开关量),S,I,沉沙池处于高液位,
CH00111,样品杯低液位信号(开关量),S,I,样品杯处于低液位,
CH00200,样品杯高液位信号(开关量),S,I,样水杯处于高液位,
CH00201,自来水压力信号(开关量),S,I,自来水有压力。,
CH00202,样品水压力信号(开关量),S,I,样水有压力。,
CH00203,废液监测信号(开关量),S,I,,
CH00204,烟雾报警信号(开关量),S,I,,
CH00206,沉沙缸进样阀反馈信号(开关量),S,I,,
CH00207,沉沙缸排水阀反馈信号(开关量),S,I,,
CH00208,1#采样阀反馈信号(开关量),S,I,,
CH00209,电极桶进样阀反馈信号(开关量),S,I,,
CH00210,2#采样阀反馈信号(开关量),S,I,,
CH00211,电极桶排水阀反馈信号(开关量),S,I,,
CH11000,1#采样阀开关不到位,S,I,,
CH11001,沉砂缸进样阀开关不到位,S,I,,
CH11002,沉砂缸排水阀开关不到位,S,I,,
CH11003,电极桶进样阀开关不到位,S,I,,
CH11004,2#采样阀开关不到位,S,I,,
CH11005,电极桶排水阀开关不到位,S,I,,
CH11006,1#管路或1#采样泵故障,S,I,,
CH11007,2#管路或2#采样泵故障,S,I,,
CH12000,1#管路和2#管路故障,S,I,,
CH10000,1#采样泵,S,O,,
CH10001,2#采样泵,S,O,,
CH10002,清洗总阀,S,O,,
CH10003,空压机,S,O,,
CH10005,加药泵,S,O,,
CH10100,沉沙缸进样阀,S,O,,
CH10101,过滤器清洗阀,S,O,,
CH10102,沉砂缸清洗阀,S,O,,
CH10103,沉沙缸排水阀,S,O,,
CH10104,1#采样阀,S,O,,
CH10105,电极桶进样阀,S,O,,
CH10106,2#采样阀,S,O,,
CH10107,超声波振荡器,S,O,,
CH10200,空压机总阀,S,O,,
CH10202,制样泵(隔膜泵),S,O,,
CH10203,仪表废液监测,S,O,,
CH10204,样水杯排水阀,S,O,,
CH10205,样水杯清洗阀,S,O,,
CH10207,电极桶排水阀,S,O,,
CH10301,加药阀,S,O,,
CH10304,仪表启动测量,S,O,,
CH10306,声光报警,S,O,,
CH10307,系统自动监测信号,S,O,,
CH10600,"系统周期(2,4,6,8小时)",P,O,系统2小时运行,
CH10601,"系统周期(2,4,6,8小时)",P,O,系统4小时运行,
CH10602,"系统周期(2,4,6,8小时)",P,O,系统6小时运行,
CH10603,"系统周期(2,4,6,8小时)",P,O,系统8小时运行,
CH10700,流程控制监测信号,S,O,润洗完成监测信号。,
CH10701,流程控制监测信号,S,O,采样完成监测信号。,
CH10702,流程控制监测信号,S,O,测量完成监测信号。,
CH10703,流程控制监测信号,S,O,清洗完成监测信号。,
CH10704,流程控制监测信号,S,O,预处理完成监测信号。,
CH10705,自动流程系统初始化状态,S,O,自动流程状态反馈,
CH10706,自动流程在润洗状态,S,O,自动流程状态反馈,
CH10707,自动流程在采样状态,S,O,自动流程状态反馈,
CH10900,自动流程在预处理状态,S,O,自动流程状态反馈,
CH10901,自动流程在制样分析状态,S,O,自动流程状态反馈,
CH10902,自动流程在清洗状态,S,O,自动流程状态反馈,
CH10903,自动流程在空闲状态,S,O,自动流程状态反馈,
CH10904,流程控制润洗监测信号,S,O,手动流程状态反馈,
CH10905,流程控制进样监测信号,S,O,手动流程状态反馈,
CH10906,流程控制测量监测信号,S,O,手动流程状态反馈,
CH10907,流程控制清洗监测信号,S,O,手动流程状态反馈,
CH10800,模式切换（1应急;0周期）,P,O,1系统模式应急;0系统模式周期,
CH10801,模式切换(1连续),P,O,1系统模式在连续,
CH10802,模式切换(1质控),P,O,1系统模式在质控,
D4000,流程切换,D4000,D,0空闲;1润洗流程;2 样流程;3测量流程;4清洗流程;5预处理流程;6单次全流程,
T0039,系统开始沉沙缸排放阀排放时间(秒),T0039,T,,
T0039,系统开始样水杯排放阀排放时间(秒),T0040,T,,
T0039,系统开始电极桶排水阀排放时间(秒),T0041,T,,
T0085,润洗1#管路监测沉砂池高液位时间(秒),T0085,T,,
T0087,润洗2#管路监测沉砂池高液位时间(秒),T0087,T,,
T0065,润洗制样泵运行时间,T0065,T,,
T0003,润洗完沉沙缸排放时间(秒),T0003,T,,
T0004,润洗完样水杯排放时间(秒),T0004,T,,
T0010,沉沙缸静置时间(秒),T0010,T,,
T0011,沉沙缸静置时间(秒),T0010,T,,
T0012,沉沙缸静置时间(秒),T0010,T,,
T0062,制样泵运行时间(秒),T0062,T,,
T0020,仪表触发启动测量(秒),T0020,T,,
T0016,采样泵运行时间(秒),T0016,T,,
T0017,采样泵运行时间(秒),T0016,T,,
T0018,采样泵运行时间(秒),T0016,T,,
T0024,采样泵运行时间(秒),T0016,T,,
T0025,采样泵运行时间(秒),T0016,T,,
T0019,内部清洗时间(秒),T0019,T,,
