PLC点位,PLC点位名称,应用类型,IO类型,状态说明,状态映射
CH00000,系统工作/停止,C,I,,
CH00001,手动/自动,C,I,,
CH00002,沉沙缸进样阀,C,I,,
CH00003,电极桶进样阀,C,I,,
CH00004,制样泵开关,C,I,,
CH00005,清洗泵开关,C,I,,
CH00006,仪表启动开关,C,I,,
CH00007,1#采样泵开关,C,I,,
CH00008,2#采样泵开关,C,I,,
CH00009,沉沙缸排水阀,C,I,,
CH00010,电极桶排水阀,C,I,,
CH00011,空压机开关,C,I,,
CH00100,加药泵开关,C,I,,
CH00001,仪表进样阀,C,I,,
CH00102,1#采样阀,C,I,,
CH00103,2#采样阀,C,I,,
CH00104,样水杯排水阀,C,I,,
CH00105,沉砂缸清洗阀,C,I,,
CH00106,过滤器清洗阀,C,I,,
CH00107,样水杯清洗阀,C,I,,
CH00108,声光报警开关,C,I,,
CH00109,沉沙池液位低,S,I,,
CH00110,沉沙池液位高,S,I,,
CH00111,样品杯低液位,S,I,,
CH00112,样品杯高液位,S,I,,
CH00200,自来水压力开关,S,I,,
CH00201,样品水压力开关,S,I,,
CH00202,湿度报警信号,S,I,,
CH00203,门禁报警信号,S,I,,
CH00204,烟雾报警信号,S,I,,
CH00205,沉沙缸进样阀反馈信号,S,I,,
CH00206,沉沙缸排水阀反馈信号,S,I,,
CH00207,1#采样阀反馈信号,S,I,,
CH00208,电极桶进样阀反馈信号,S,I,,
CH00209,2#采样阀反馈信号,S,I,,
CH00210,电极桶排水阀反馈信号,S,I,,
CH11000,1#采样阀开关不到位,S,I,,
CH11001,沉砂缸进样阀开关不到位,S,I,,
CH11002,沉砂缸排水阀开关不到位,S,I,,
CH11003,电极桶进样阀开关不到位,S,I,,
CH11004,2#采样阀开关不到位,S,I,,
CH11005,电极桶排水阀开关不到位,S,I,,
CH11006,1#管路或1#采样泵故障,S,I,,
CH11007,2#管路或2#采样泵故障,S,I,,
CH10000,1#采样泵开关,S,O,,
CH10001,2#采样泵开关,S,O,,
CH10002,清洗泵开关,S,O,,
CH10003,空压机开关,S,O,,
CH10005,加药泵开关,S,O,,
CH10006,超声波振荡器开关,S,O,,
CH10100,沉沙缸进样阀,S,O,,
CH10101,过滤器清洗阀,S,O,,
CH10102,沉砂缸清洗阀,S,O,,
CH10103,沉沙缸排水阀,S,O,,
CH10104,1#采样阀,S,O,,
CH10105,电极桶进样阀,S,O,,
CH10106,2#采样阀,S,O,,
CH10107,清洗总阀,S,O,,
CH10200,空压机总阀,S,O,,
CH10202,制样泵开关,S,O,,
CH10204,样水杯排水阀,S,O,,
CH10205,样水杯清洗阀,S,O,,
CH10206,氨氮进样阀,S,O,,
CH10207,电极桶排水阀,S,O,,
CH10301,加药阀,S,O,,
CH10304,仪表启动开关,S,O,,
CH10306,声光报警开关,S,O,,
CH10600,"系统周期(2,4,6,8小时)",P,O,,
CH10601,"系统周期(2,4,6,8小时)",P,O,,
CH10602,"系统周期(2,4,6,8小时)",P,O,,
CH10603,"系统周期(2,4,6,8小时)",P,O,,
T0003,沉沙缸排放阀排放时间(秒),T0003,T,,
T0004,样水杯排放阀排放时间(秒),T0004,T,,
T0005,电极桶排水阀排放时间(秒),T0005,T,,
T0010,沉沙缸静置时间(秒),T0010,T,,
T0011,沉沙缸静置时间(秒),T0010,T,,
T0016,采样泵运行时间(秒),T0016,T,,
T0017,采样泵运行时间(秒),T0016,T,,
T0018,采样泵运行时间(秒),T0016,T,,
T0024,采样泵运行时间(秒),T0016,T,,
T0025,采样泵运行时间(秒),T0016,T,,
T0019,外部清洗时间(秒),T0019,T,,
T0023,测量结束排放时长(秒),T0023,T,,
T0027,内部清洗时间(秒),T0027,T,,
