子协议ID,系统ID,站点因子ID,平台因子ID,数值格式
jgwms,32,U000004,301,
jgwms,32,U000001,302,
jgwms,32,U000005,315,
jgwms,32,U000006,463,
jgwms,32,U000153,465,
jgwms,32,U000060,311,
jgwms,32,U000016,314,
jgwms,32,U000101,313,
jgwms,32,U000065,466,
jgwms,32,U000901,492,
jgwms,32,U000081,501,
jgwms,32,U000024,323,
jgwms,32,U000274,723,
jgwms,32,U000103,325,
jgwms,32,U000032,432,
jgwms,32,U000031,433,
cdhne,31,U000930,901,
cdhne,31,U000931,902,
cdhne,31,U001030,T10,
cdhne,31,U001031,T11,
cdhne,31,U001032,T12,
cdhne,31,U001035,T20,
cdhne,31,U001036,T21,
cdhne,31,U001037,T22,
cdhne,31,U001040,T30,
cdhne,31,U001041,T31,
cdhne,31,U001042,T32,
cdhne,31,U001045,T40,
cdhne,31,U000904,S04,
cdhne,31,U000001,G01,
cdhne,31,U000901,S01,
cdhne,31,U000903,S03,
cdhne,31,U000908,S08,
cdhne,31,U000002,G02,
cdhne,31,U000039,39,
cdhne,31,U000003,G03,
cdhne,31,U000004,G04,
cdhne,31,U000008,G08,
baaqms,22,U000108,139,
baaqms,22,U000151,136,
baaqms,22,U000118,118,
baaqms,22,U000119,119,
baaqms,22,U000120,120,
baaqms,22,U000121,121,
baaqms,22,U000122,122,
baaqms,22,U000308,308,
baaqms,22,U000315,315,
baaqms,22,U000105,105,
baaqms,22,U000041,41,
baaqms,22,U000040,40,
baaqms,22,U000005,G05,
baaqms,22,U000124,124,
baaqms,22,U000125,125,
baaqms,22,U000126,126,
baaqms,22,U000127,127,
baaqms,22,U000128,128,
baaqms,22,U000129,129,
baaqms,22,U000130,130,
baaqms,22,U000082,82,
baaqms,22,U000083,83,
baaqms,22,U000109,109,
baaqms,22,U000110,110,
baaqms,22,U000111,111,
baaqms,22,U000112,112,
baaqms,22,U000113,113,
baaqms,22,U000114,114,
baaqms,22,U000115,115,
szhj,102,U000025,a24087,
szhj,102,U000016,a80016,
szhj,102,U000801,a80001,
szhj,102,U000023,a25010,
szhj,102,U000029,a24046,
szhj,102,U000810,a80003,
szhj,102,U000811,a80002,
szhj,102,U000017,a25003,
szhj,102,U000018,a25005,
xgbt,22,U000118,a21026,
xgbt,22,U000120,a21003,
xgbt,22,U000119,a21002,
xgbt,22,U000122,a21005,
xgbt,22,U000105,a05024,
xgbt,22,U000040,a34002,
xgbt,22,U000041,a34004,
xgbt,22,U000110,a01006,
xgbt,22,U000111,a01007,
xgbt,22,U000112,a01008,
xgbt,22,U000109,a01002,
xgbt,22,U000108,a01001,
xgbt,22,U000152,a01020,
xgbt,22,U000121,a21004,
xgbt,22,U000114,a06001,
xgbt,32,U000001,w01001,
xgbt,32,U000002,w01002,
xgbt,32,U000003,w01012,
xgbt,32,U000004,w01010,
xgbt,32,U000005,w01009,
xgbt,32,U000006,w01014,
xgbt,32,U000153,w01003,
xgbt,32,U000154,w01006,
xgbt,32,U000010,w01017,
xgbt,32,U000011,w01018,
xgbt,32,U000015,w01020,
xgbt,32,U000016,w01019,
xgbt,32,U000020,w20111,
xgbt,32,U000021,w20113,
xgbt,32,U000022,w20115,
xgbt,32,U000023,w20116,
xgbt,32,U000024,w20117,
xgbt,32,U000025,w20118,
xgbt,32,U000026,w20119,
xgbt,32,U000027,w20120,
xgbt,32,U000028,w20121,
xgbt,32,U000029,w20122,
xgbt,32,U000030,w20123,
xgbt,32,U000031,w20124,
xgbt,32,U000032,w20125,
xgbt,32,U000033,w20126,
xgbt,32,U000034,w20127,
xgbt,32,U000035,w20128,
xgbt,32,U000036,w20092,
xgbt,32,U000037,w20023,
xgbt,32,U000038,w20061,
xgbt,32,U000039,w20012,
xgbt,32,U000040,w20038,
xgbt,32,U000041,w20089,
xgbt,32,U000060,w21003,
xgbt,32,U000061,w99001,
xgbt,32,U000065,w21001,
xgbt,32,U000080,w22001,
xgbt,32,U000081,w01016,
xgbt,32,U0000101,w21011,
xgbt,32,U0000103,w21016,
xgbt,32,U0000104,w20139,
xgbt,32,U0000901,w00000,
xgbt,32,U0000911,w80001,
