子协议ID,系统ID,站点因子ID,平台因子ID,数值格式
3c,32,U000001,G001,
3c,32,U000004,G107,
3c,32,U000005,G109,
3c,32,U000006,G105,
3c,32,U000153,G106,
3c,32,U000011,G108,
3c,32,U000016,G108,
3c,32,U000010,G010,
3c,32,U000065,G065,
3c,32,U000060,G060,
3c,32,U000101,G101,
3c,32,U000151,G110,
3c,32,U000081,G102,
3c,32,U000082,G103,
3c,32,U000083,G104,
3c,21,U000001,G001,
3c,21,U000004,G107,
3c,21,U000005,G109,
3c,21,U000006,G105,
3c,21,U000153,G106,
3c,21,U000011,G108,
3c,21,U000016,G108,
3c,21,U000010,G010,
3c,21,U000065,G065,
3c,21,U000060,G060,
3c,21,U000101,G101,
3c,21,U000151,G110,
3c,21,U000081,G102,
3c,21,U000082,G103,
3c,21,U000083,G104,
3crt,32,U000001,G001,
3crt,32,U000004,G107,
3crt,32,U000005,G109,
3crt,32,U000006,G105,
3crt,32,U000153,G106,
3crt,32,U000011,G108,
3crt,32,U000016,G108,
3crt,32,U000010,G010,
3crt,32,U000065,G065,
3crt,32,U000060,G060,
3crt,32,U000101,G101,
3crt,32,U000151,G110,
3crt,32,U000081,G102,
3crt,32,U000082,G103,
3crt,32,U000083,G104,
3crt,21,U000001,G001,
3crt,21,U000004,G107,
3crt,21,U000005,G109,
3crt,21,U000006,G105,
3crt,21,U000153,G106,
3crt,21,U000011,G108,
3crt,21,U000016,G108,
3crt,21,U000010,G010,
3crt,21,U000065,G065,
3crt,21,U000060,G060,
3crt,21,U000101,G101,
3crt,21,U000151,G110,
3crt,21,U000081,G102,
3crt,21,U000082,G103,
3crt,21,U000083,G104,
