子协议ID,系统ID,站点因子ID,平台因子ID,数值格式
lngd,32,U000004,G000,N3.1
lngd,32,U000001,G001,N4.2
lngd,32,U000005,G002,N4.1
lngd,32,U000016,G003,N4.1
lngd,32,U000006,G004,N5.0
lngd,32,U000153,G006,N3.0
lngd,32,U000060,G009,N6.2
lngd,32,U000065,G010,N5.2
lngd,32,U000101,G036,N5.2
lngd,32,U000274,G039,N5.2
lngd,21,U000004,G000,N3.1
lngd,21,U000001,G001,N4.2
lngd,21,U000005,G002,N4.1
lngd,21,U000016,G003,N4.1
lngd,21,U000006,G004,N5.0
lngd,21,U000153,G006,N3.0
lngd,21,U000060,G009,N6.2
lngd,21,U000065,G010,N5.2
lngd,21,U000101,G036,N5.2
lngd,21,U000274,G039,N5.2
