制造商ID,设备型号,系统ID,设备类型,协议ID,设备能力,别名,备注
zeei,ADM7024,0,12,adm7024,0,,
zeei,ADM7017,0,1,adm7017,1,,
zeei,ADM8028,0,1,adm8028,1,,
zeei,ADM7060,0,11,adm7060,0,,
zeei,ADM7705,0,1,adm7705,1,,
zeei,ADM1010,0,11,adm1010,1,,
zeei,ADM1020,0,11,adm1020,0,,
zeei,DTVU1000,"32,21",13,dtvu1000,1,,数采仪虚拟泵阀控制
esa,ESA_AF22_SO2,22,0,esamode4,1,,
esa,ESA_CO12_CO,22,0,esamode4,1,,
esa,ESA_HC51_HC,22,0,esamode4,1,,
esa,ESA_O342_O3,22,0,esamode4,1,,
esa,ESA_AC32_NOx,22,0,esamode4,1,,
esa,ESA_AC32_NH3,22,0,esamode4,1,,
esa,ESA_M104_PM10,22,0,esamode4,1,,
esa,ESA_M104_PM25,22,0,esamode4,1,,
esa,ESA_M101_PM25,22,0,esamode4,1,,
esa,ESA_M101_PM10,22,0,esamode4,1,,
esa,ESA_MIR1,31,0,esamode4,1,,
esa,ESA_3062,31,0,esamode4,1,,
horiba,HORIBA_APSA370_SO2,"22,31",0,horiba,1,,
horiba,HORIBA_APNA370_NOx,"22,31",0,horiba,1,,
horiba,HORIBA_APMA370_CO,"22,31",0,horiba,1,,
horiba,HORIBA_APOA370_O3,22,0,horiba,1,,
horiba,HORIBA_APDA370_PM25,22,0,horiba,1,,
horiba,HORIBA_APDA370_PM10,22,0,horiba,1,,
horiba,HORIBA_APSA360_SO2,"22,31",0,horiba_360,1,,
horiba,HORIBA_APNA360_NOx,"22,31",0,horiba_360,1,,
horiba,HORIBA_APMA360_CO,"22,31",0,horiba_360,1,,
horiba,HORIBA_APOA360_O3,22,0,horiba_360,1,,
horiba,HORIBA_ENDA600,31,0,horiba_enda,1,,
horiba,HORIBA_CODA500_COD,"32,21",0,horiba_modbus,1,,
horiba,HORIBA_TPNA500_TNP,"32,21",0,horiba_tnp,1,,
kn,KN_6010_SO2,"22,31",0,kn,1,,
kn,KN_6020_NOx,"22,31",0,kn,1,,
kn,KN_6030_CO,"22,31",0,kn,1,,
kn,KN_6040_O3,22,0,kn,1,,
kn,KN_6050_PM25,22,0,kn,1,,
kn,KN_6050_PM10,22,0,kn,1,,
thermo,THERMO_17I_NH3,"22,31,101",0,thermo_clink,1,,
thermo,THERMO_17I_NOx,"22,31,101",0,thermo_clink,1,,
thermo,THERMO_42I_NOx,"22,31,101",0,thermo_clink,15,,
thermo,THERMO_450I_SO2,"22,31,101",0,thermo_clink,1,,
thermo,THERMO_43I_SO2,"22,31,101",0,thermo_clink,15,,
thermo,THERMO_48I_CO,"22,31,101",0,thermo_clink,15,,
thermo,THERMO_49I_O3,"22,31,101",0,thermo_clink,15,,
thermo,THERMO_FH62C14_PM25,"22,31,101",0,thermo_clink,1,,
thermo,THERMO_FH62C14_PM10,"22,31,101",0,thermo_clink,1,,
thermo,THERMO_5014I_PM25,"22,31,101",0,thermo_clink,1,,
thermo,THERMO_5014I_PM10,"22,31,101",0,thermo_clink,1,,
thermo,THERMO_410I_CO2,"22,31,101",0,thermo_clink,1,,
thermo,THERMO_5030_PM25,"22,31,101",0,thermo_clink,1,,
thermo,THERMO_5030_PM10,"22,31,101",0,thermo_clink,1,,
thermo,THERMO_MODBUS_49IO3,22,0,thermo_modbus,1,,热电MODBUS  O3
thermo,THERMO_MODBUS_48ICO,"22,31",0,thermo_modbus,1,,热电MODBUS  CO
thermo,THERMO_MODBUS_42INO,"22,31",0,thermo_modbus,1,,热电MODBUS  氮氧化物
thermo,THERMO_MODBUS_43ISO2,"22,31",0,thermo_modbus,1,,热电MODBUS  二氧化硫
thermo,THERMO_MODBUS_14IPM,22,0,thermo_modbus,1,,热电MODBUS  PM
thermo,THERMO_43I_SO2PARAM,"22,31",0,thermo_clinkparam,15,,
thermo,THERMO_42I_NOxPARAM,"22,31",0,thermo_clinkparam,15,,
thermo,THERMO_48I_COPARAM,"22,31",0,thermo_clinkparam,15,,
thermo,THERMO_49I_O3PARAM,"22,31",0,thermo_clinkparam,15,,
thermo,TH_PM25,22,0,th_bpm,1,,
thermo,THERMO_5030I_TSP,22,0,thermo_esm,1,,扬尘
ftun,FTUN_FAS5100_PM25,22,0,ftun,1,,
ftun,FTUN_FAS5100_PM10,22,0,ftun,1,,
lufft,LUFFT_WS500,22101,0,lufft,1,,五参数
lufft,LUFFT_WS600,22101,0,lufft,1,,五参数
xh,XH_2000E0_PM25,22101,0,xh_2000e0,1,,先河
xh,XH_AQMS_SO2,22101,0,xh_ascii,1,,
xh,XH_AQMS_CO,22101,0,xh_ascii,1,,
xh,XH_AQMS_NOx,22101,0,xh_ascii,1,,
xh,XH_AQMS_O3,22101,0,xh_ascii,1,,
ecotech,ECOTECH_9810_O3,22101,0,xh_ascii,1,,
ecotech,ECOTECH_9850_SO2,22101,0,xh_ascii,1,,
ecotech,ECOTECH_9830_CO,22101,0,xh_ascii,1,,
ecotech,ECOTECH_9841_NOx,22101,0,xh_ascii,1,,
ecotech,ECOTECH_9842_NH3,22101,0,xh_ascii,1,,
ecotech,ECOTECH_9843_NOy,22101,0,xh_ascii,1,,
metone,METONE_PM25,22101,0,metone_pm,1,,
metone,METONE_PM10,22101,0,metone_pm,1,,
metone,METONE_PM1,22101,0,metone_pm,1,,
metone,METONE_MSO15,22101,0,metone_mso,1,,五参数
th,TH_O3,22,0,th_aqms,1,,武汉天虹
th,TH_LB150DA,22,0,th_lb150,1,,武汉天虹气象大气压温度湿度
th,TH_LB150WV,22,0,th_lb150,1,,武汉天虹气象风速风向
th,TH_CO,22,0,th_aqms,1,,
th,TH_SO2,22,0,th_bpm,1,,天虹SO2 TH-2002
th,TH_NO,22,0,th_bpm,1,,天虹NO  TH-2001
th,TH_PM,22,0,th_bpm,1,,天虹PM2.5 PM10  TH-2000
