协议名称,协议ID,通信模式
公司国标协议,gbt212,
公司新国标协议,gbt212:xgbt,
公司地表水协议,zeeiwms,
公司子站协议(简单),gbtiny:zenode,
公司子站协议(标准),gbstd:zenode,
公司国标宝安平台,gbt212:baaqms,
南京三希烟气数采协议,nj3c,
南京三希地表水数采协议(周期),gbtiny:3c,
南京三希地表水数采协议(实时),gbtiny:3crt,
南京三希国标协议,gbstd:3c,
世纪明亮数采协议,sjml,
世纪明亮国标协议,sjmlgb,
浩瑞泰地表水协议,gbstd:szholly,
辽宁光大水文协议,szy206:lngd,
聚光地表水协议,gbt212:jgwms,
聚光地表水协议(旧1),jggbt212,
聚光地表水协议(旧2),lagbt212,
大连天明,dltm:dsz,
无锡中讯,wxzx,
南京德鸿,njdh,
广西云景,sysu:yj,
苏州环境,gbt212:szhj,
西安长天,xact,
成都海诺尔,gbt212:cdhne,
抚顺工况协议,cggbt212:fsopc,
总站比武协议,gbcompare,
ModbusRTU协议,modbusrtu,
国家水站协议,gbnatwms,
国标vocs2017,gbstd:vocs2017,
