系统ID,因子分组ID,因子通道ID,因子名称,专业缩写,单位,数值格式,分子量,因子类型
32,0,1,pH,pH,,N2.1,,
32,0,2,色度,,,N5.1,,
32,0,3,悬浮物,SS,mg/L,N5.1,,
32,0,4,水温,T,℃,N3.1,,
32,0,5,溶解氧,DO,mg/L,N5.1,,
32,0,6,电导率,EC,us/cm,N5.1,,
32,0,153,浊度,,NTU,N5.1,,
32,0,154,TDS,TDS,mg/L,N5.1,,
32,0,10,BOD5,BOD5,mg/L,N5.1,,
32,0,11,CODCr,CODCr,mg/L,N6.1,,
32,0,15,总有机碳,TOC,mg/L,N3.2,,
32,0,16,CODMn,CODMn,mg/L,N6.1,,
32,0,20,总汞,THg,mg/L,N2.3,,
32,0,21,烷基汞,,mg/L,N2.1,,
32,0,22,总镉,TCd,mg/L,N2.2,,
32,0,23,总铬,TCr,mg/L,N3.2,,
32,0,24,六价铬,Cr6+,mg/L,N2.2,,
32,0,25,三价铬,Cr3+,mg/L,N3.2,,
32,0,26,总砷,TAs,mg/L,N2.2,,
32,0,27,总铅,TPb,mg/L,N3.2,,
32,0,28,总镍,TNi,mg/L,N3.2,,
32,0,29,总铜,TCu,mg/L,N3.2,,
32,0,30,总锌,TZn,mg/L,N3.2,,
32,0,31,总锰,TMn,mg/L,N3.2,,
32,0,32,总铁,TFe,mg/L,N3.2,,
32,0,33,总银,TAg,mg/L,N2.2,,
32,0,34,总铍,TBe,mg/L,N2.3,,
32,0,35,总硒,TSe,mg/L,N2.2,,
32,0,36,锡,Sn,mg/L,N3.6,,
32,0,37,硼,B,mg/L,N3.6,,
32,0,38,钼,Mo,mg/L,N3.6,,
32,0,39,钡,Ba,mg/L,N3.6,,
32,0,40,钴,Co,mg/L,N3.6,,
32,0,41,铊,Tl,mg/L,N3.6,,
32,0,60,氨氮,NH4-N,mg/L,N2.3,,
32,0,61,有机氮,,mg/L,N3.2,,
32,0,65,总氮,TN,mg/L,N3.2,,
32,0,80,石油类,,mg/L,N3.2,,
32,0,81,叶绿素,CHL,mg/L,N3.2,,
32,0,82,室温,RT,℃,N3.1,,
32,0,83,湿度,H,%,N2.1,,
32,0,101,总磷,TP,mg/L,N3.2,,
32,0,102,铜离子,Cu2+,mg/L,N3.2,,
32,0,103,氰化物,CN,mg/L,N3.2,,
32,0,104,锌,Zn,mg/L,N3.2,,
32,0,901,瞬时流量,,L/s,N14.2,,
32,0,911,累计流量,,m3,N14.2,,
32,0,151,生物毒性（发光菌）,,%,N2.1,,
32,0,152,生物毒性（鱼法）,,%,N2.1,,
32,0,274,蓝绿藻,,ug/L,N3.2,,
32,0,201,硝酸盐(以N计),,mg/L,N3.2,,
32,0,208,亚硝酸盐(以N计),,mg/L,N3.2,,
32,0,191,挥发性酚类,C6H5OH,mg/L,N3.2,,
32,0,198,氟化物,F-,mg/L,N3.2,,
32,0,194,氯化物,CL-,mg/L,N3.2,,
32,0,177,余氯,NHCl2,mg/L,N3.2,,
32,0,219,总氯,CL2,mg/L,N3.2,,
32,0,920,面积,,m2,,,
32,0,921,水流速VX,,cm/s,,,
32,0,922,水流速VY,,cm/s,,,
32,0,923,水深,,cm,,,
32,0,924,气温,,℃,,,
32,0,925,气湿度,,%,,,
32,0,926,气压,,Pa,,,
32,0,927,风速,,m/s,,,
32,0,928,风向,,度,,,
32,0,929,辐射,,W/m2,,,
32,0,930,室温,,℃,,,
32,0,931,湿度,,%,,,
32,0,932,电压,,V,,,
32,0,933,水压,,MPa,,,
32,0,934,提升泵状态,,,,,
32,0,935,循环阀状态,,,,,
31,0,1,烟尘,,mg/m3,N5.2,,
31,0,2,二氧化硫,SO2,mg/m3,N5.2,64,
31,0,3,氮氧化物,Nox,mg/m3,N5.3,,
31,0,4,一氧化碳,CO,mg/m3,N2.3,28,
31,0,5,硫化氢,H2S,mg/m3,N3.2,34,
31,0,6,氟化物,,mg/m3,N2.3,20,
31,0,7,氰化物(含氰化氢),,mg/m3,N3.3,27,
31,0,8,氯化氢,HCl,mg/m3,N4.3,36.5,
31,0,9,沥青烟,,mg/m3,N4.3,,
31,0,10,氨,NH3,mg/m3,N4.3,17,
31,0,11,氯气,CL2,mg/m3,N4.3,71,
31,0,12,二硫化碳,CS2,mg/m3,N4.3,78,
31,0,13,硫醇,,mg/m3,N4.3,,
31,0,14,硫酸雾,,mg/m3,N4.3,,
31,0,15,铬酸雾,,mg/m3,N2.4,,
31,0,16,苯系物,,mg/m3,N4.2,78,
31,0,17,甲苯,,mg/m3,N4.2,78,
31,0,18,二甲苯,,mg/m3,N4.2,106,
31,0,19,甲醛,CHOH,mg/m3,N3.3,30,
31,0,20,苯并(a)芘,,mg/m3,N3.6,,
31,0,21,苯胺类,,mg/m3,N4.3,,
31,0,22,硝基苯类,,mg/m3,N3.4,,
31,0,23,氯苯类,,mg/m3,N4.3,,
31,0,24,光气,COCL2,mg/m3,N3.3,99,
31,0,25,碳氢化合物,,mg/m3,N5.2,56,
31,0,26,乙醛,CH3OH,mg/m3,N3.4,32,
31,0,27,酚类,,mg/m3,N3.3,,
31,0,28,甲醇,,mg/m3,N5.2,,
31,0,29,氯乙烯,,mg/m3,N4.3,,
31,0,30,二氧化碳,CO2,%,N4.3,44,
31,0,31,汞及其化合物,HgO,ug/m3,N4.4,,
31,0,32,铅及其化合物,,mg/m3,N2.4,,
31,0,33,镉及其化合物,,mg/m3,N3.4,,
31,0,34,锡及其化合物,,mg/m3,N4.3,,
31,0,35,镍及其化合物,,mg/m3,N3.3,,
31,0,36,铍及其化合物,,mg/m3,N4.4,,
31,0,37,林格曼黑度,,mg/m3,N1.0,,
31,0,38,一氧化氮,NO,mg/m3,N5.3,30,
31,0,39,二氧化氮,NO2,mg/m3,N5.3,46,
31,0,40,元素汞,,ug/m3,N5.3,,
31,0,41,二价汞,,ug/m3,N5.3,,
31,0,901,含氧量,,%,N3.1,,P
31,0,902,烟气流速,,m/s,N5.2,,P
31,0,903,烟气温度,,℃,N3.1,,P
31,0,904,烟气动压,,kPa,N4.2,,P
31,0,905,烟气湿度,,%,N3.1,,P
31,0,906,制冷温度,,℃,N3.1,,P
31,0,907,烟道截面积,,m2,N4.2,,P
31,0,908,烟气压力,,kPa,N4.2,,P
31,0,909,真空度,,kPa,N4.2,,P
31,0,910,烟气全压,,kPa,N4.2,,P
31,0,911,当地大气压,,kPa,N4.2,,P
31,0,912,烟气瞬时流量,,m3/h,N14.2,,P
31,0,923,辅助温度,,℃,N3.1,,P
31,0,924,表压,,Pa,N3.1,,P
31,0,930,垃圾焚烧炉平均温度,,℃,N3.1,,P
31,0,931,DCS温度,,℃,N3.1,,P
31,0,1030,炉膛顶部左侧温度,,℃,N3.1,,P
31,0,1031,炉膛顶部中间温度,,℃,N3.1,,P
